upc,http_code,time_total,size_download,time_starttransfer
"040326182394","200",4.910,27942,4.770
"083622316438","200",6.047,30267,5.959
"754819114334","200",2.648,30028,2.585
"039307951968","200",9.798,52018,9.743
"052177811880","200",1.504,33243,1.395
"052177313391","200",10.098,272827,9.886
"084084327475","200",19.515,88230,19.426
"762993700311","200",1.001,4684,0.948
"884661022959","200",0.754,10862,0.726
"773389567104","200",0.900,14034,0.866
"651056312618","200",2.480,25190,2.431
"084084327062","200",19.690,139461,19.581
"040326267701","200",2.409,23737,2.284
"040326181144","200",4.601,29533,4.217
"040326257481","200",2.573,22460,2.531
"052177788052","200",19.839,217736,19.658
"052177791373","200",16.801,97501,16.633
"052177504645","200",3.676,25625,3.578
"039307604529","200",5.293,55028,5.237
"039307091619","200",0.149,43909,0.110
"052175812810","200",3.267,25589,3.230
"039307996266","200",8.135,134092,7.993
"039307746410","200",4.877,36443,4.758
"039307738057","200",9.581,75153,8.559
"773389571132","200",3.449,45327,2.505
"754819094414","200",2.346,16135,1.913
"754819110886","200",2.264,18908,2.047
"754819094896","200",6.012,35989,4.883
"754819101853","200",2.151,16192,1.667
"754819101266","200",4.031,43813,3.828
"884888719885","200",1.545,13083,1.484
"883912392360","200",1.440,16601,0.694
"883913916497","200",2.259,18306,2.067
"882272255216","200",1.426,5617,1.008
"786664429042","200",3.502,15479,2.511
"786664431861","200",1.452,4737,0.814
"083625981619","200",4.696,18497,4.249
"083625992882","200",4.578,29642,3.925
"690742910073","200",2.250,20350,1.581
"846411007159","200",1.154,6455,1.070
"886878769429","200",6.243,31571,5.832
"886878787324","200",6.761,21499,6.692
"744199443155","200",0.741,2563,0.662
"846411007050","200",0.913,3065,0.842
"846411006954","200",0.543,3465,0.526
"883326383374","200",1.194,8311,1.088
"883326383770","200",0.398,4199,0.281
"883326480011","200",0.350,5833,0.279
"883326549534","200",0.394,3469,0.378
"884140167645","200",1.242,7323,1.212
"884140226656","200",0.616,3143,0.567
"884140322396","200",0.834,3179,0.784
"884140298325","200",1.385,8030,1.316
"744199443223","200",0.578,2842,0.566
"604095224800","200",2.684,15171,2.470
"052176516625","200",2.486,9277,1.550
"604095301075","200",7.632,30854,7.151
"052178929560","200",1.859,6094,1.728
"886878247651","200",0.343,8103,0.285
"039304001178","200",1.541,4974,1.388
"052176506381","200",2.348,10139,2.326
"690742765291","200",2.889,10410,2.862
"760609289342","200",4.074,21140,4.015
"755107437135","200",0.572,4804,0.566
"690742627377","200",1.050,4895,1.049
"690742574374","200",0.808,3210,0.781
"690742765772","200",0.647,4887,0.626
"690742628077","200",1.113,4562,1.113
"657171309182","200",1.559,5483,1.520
"657171309083","200",0.391,3429,0.382
"657171309137","200",0.349,3103,0.349
"884140246784","200",0.651,3010,0.635
"884140284212","200",0.418,6248,0.401
"885779339694","200",0.340,3069,0.331
"885779280101","200",0.468,2939,0.468
"885779279945","200",0.522,5240,0.494
"884140225703","200",0.641,8245,0.620
"884140292996","200",0.386,3020,0.386
"787165014188","200",2.158,12030,2.075
"704624107977","200",0.761,6099,0.665
"612862785140","200",1.247,12628,1.224
"787165027423","200",7.056,11559,7.037
"787165029304","200",13.275,37230,13.146
"612862799888","200",0.979,8797,0.957
"612862800423","200",1.094,8952,1.057
